,primal_loss,dual_loss,cost,max_P_viol,max_Q_viol,max_viol,mean_viol,rho
0,15.140948918342591,0.04705516523122787,18957.3188203125,2.122209072113037,1.416934847831726,2.122209072113037,0.1854165494441986,1.0
1,3.874385824680328,0.013471314396709204,23582.401609375,0.9651448726654053,1.0519224405288696,1.0519224405288696,0.13943159580230713,1.0
2,2.2092437429428102,0.006255208250135183,30703.7023828125,0.6317634582519531,0.8220392465591431,0.8220392465591431,0.09341324865818024,2.0
3,3.0195520048141478,0.014304467145353555,33130.625109375,0.5522376894950867,0.7198359966278076,0.7198359966278076,0.06687348335981369,4.0
4,3.9589077215194703,0.03725701685994864,33369.50671875,0.5121556520462036,0.6113876104354858,0.6113876104354858,0.052211351692676544,8.0
5,6.288022094726562,0.12323992076516152,33284.482796875,0.4690779447555542,0.511779248714447,0.511779248714447,0.047944311052560806,16.0
6,9.884743896484375,0.4193559160232544,33051.339703125,0.4355041980743408,0.4940449595451355,0.4940449595451355,0.04363894835114479,32.0
7,17.81407202911377,1.539949592113495,32851.393015625,0.40862321853637695,0.4538736343383789,0.4538736343383789,0.041218824684619904,64.0
8,30.34480113220215,5.836241209030152,32899.23740625,0.380082368850708,0.4477040767669678,0.4477040767669678,0.03914951533079147,128.0
9,53.05710383605957,22.572278926849364,32945.41434375,0.4149012565612793,0.43732696771621704,0.43732696771621704,0.037133894860744476,256.0
